term,translation,context,language,confidence,winning_model,consensus,version,code,url
Groundwater Flooding,inondation d'eau souterraine,"A groundwater flood is the emergence of groundwater at the ground surface away from perennial river channels or the rising of groundwater into man-made ground, under conditions where the ‘normal’ ranges of groundwater level and groundwater flow are exceeded (BGS, 2010).",fr,0.95,gpt-oss:latest,No consensus,0.1,,
Groundwater Flooding,inundación de agua subterránea,"A groundwater flood is the emergence of groundwater at the ground surface away from perennial river channels or the rising of groundwater into man-made ground, under conditions where the ‘normal’ ranges of groundwater level and groundwater flow are exceeded (BGS, 2010).",es,0.98,gpt-oss:latest,No consensus,0.1,,
Groundwater Flooding,Grundwasserüberflutung,"A groundwater flood is the emergence of groundwater at the ground surface away from perennial river channels or the rising of groundwater into man-made ground, under conditions where the ‘normal’ ranges of groundwater level and groundwater flow are exceeded (BGS, 2010).",de,0.97,gpt-oss:latest,No consensus,0.1,,
Groundwater Flooding,pohjavesien tulva,"A groundwater flood is the emergence of groundwater at the ground surface away from perennial river channels or the rising of groundwater into man-made ground, under conditions where the ‘normal’ ranges of groundwater level and groundwater flow are exceeded (BGS, 2010).",fi,0.96,gpt-oss:latest,No consensus,0.1,,
Groundwater Flooding,переполнение грунтовых вод,"A groundwater flood is the emergence of groundwater at the ground surface away from perennial river channels or the rising of groundwater into man-made ground, under conditions where the ‘normal’ ranges of groundwater level and groundwater flow are exceeded (BGS, 2010).",ru,0.95,gpt-oss:latest,No consensus,0.1,,
Groundwater Flooding,переповнення ґрунтових вод,"A groundwater flood is the emergence of groundwater at the ground surface away from perennial river channels or the rising of groundwater into man-made ground, under conditions where the ‘normal’ ranges of groundwater level and groundwater flow are exceeded (BGS, 2010).",ua,0.95,gpt-oss:latest,No consensus,0.1,,
Groundwater Flooding,inondazione delle acque sotterranee,"A groundwater flood is the emergence of groundwater at the ground surface away from perennial river channels or the rising of groundwater into man-made ground, under conditions where the ‘normal’ ranges of groundwater level and groundwater flow are exceeded (BGS, 2010).",it,0.97,gpt-oss:latest,No consensus,0.1,,
Downburst,déflagration descendante,"A downburst is a violent and damaging downdraught reaching the ground surface, associated with a severe thunderstorm (WMO, 1992).",fr,0.95,gpt-oss:latest,No consensus,0.1,,
Downburst,corriente descendente violenta,"A downburst is a violent and damaging downdraught reaching the ground surface, associated with a severe thunderstorm (WMO, 1992).",es,0.97,gpt-oss:latest,No consensus,0.1,,
Downburst,Senksturm,"A downburst is a violent and damaging downdraught reaching the ground surface, associated with a severe thunderstorm (WMO, 1992).",de,0.96,gpt-oss:latest,No consensus,0.1,,
Downburst,pylväsmyrsky,"A downburst is a violent and damaging downdraught reaching the ground surface, associated with a severe thunderstorm (WMO, 1992).",fi,0.8,gpt-oss:latest,No consensus,0.1,,
Downburst,промежуточный разряд ветра,"A downburst is a violent and damaging downdraught reaching the ground surface, associated with a severe thunderstorm (WMO, 1992).",ru,0.85,gpt-oss:latest,No consensus,0.1,,
Downburst,сильний вертикальний потік повітря,"A downburst is a violent and damaging downdraught reaching the ground surface, associated with a severe thunderstorm (WMO, 1992).",ua,0.85,gpt-oss:latest,No consensus,0.1,,
Downburst,scoppio verticale,"A downburst is a violent and damaging downdraught reaching the ground surface, associated with a severe thunderstorm (WMO, 1992).",it,0.96,gpt-oss:latest,No consensus,0.1,,
Thunderstorm,orage,"A thunderstorm is defined as one or more sudden electrical discharges, manifested by a flash of light (lightning) and a sharp or rumbling sound (thunder) (WMO, no date).",fr,0.97,gpt-oss:latest,Consensus reached (3/3 models agreed),0.1,,
Thunderstorm,tormenta eléctrica,"A thunderstorm is defined as one or more sudden electrical discharges, manifested by a flash of light (lightning) and a sharp or rumbling sound (thunder) (WMO, no date).",es,0.98,gpt-oss:latest,No consensus,0.1,,
Thunderstorm,Gewitter,"A thunderstorm is defined as one or more sudden electrical discharges, manifested by a flash of light (lightning) and a sharp or rumbling sound (thunder) (WMO, no date).",de,0.97,gpt-oss:latest,Consensus reached (3/3 models agreed),0.1,,
Thunderstorm,pilvinen ukkokuuntelu,"A thunderstorm is defined as one or more sudden electrical discharges, manifested by a flash of light (lightning) and a sharp or rumbling sound (thunder) (WMO, no date).",fi,0.9,gpt-oss:latest,No consensus,0.1,,
Thunderstorm,молниеносный шторм,"A thunderstorm is defined as one or more sudden electrical discharges, manifested by a flash of light (lightning) and a sharp or rumbling sound (thunder) (WMO, no date).",ru,0.95,gpt-oss:latest,No consensus,0.1,,
Thunderstorm,молний шторм,"A thunderstorm is defined as one or more sudden electrical discharges, manifested by a flash of light (lightning) and a sharp or rumbling sound (thunder) (WMO, no date).",ua,0.95,gpt-oss:latest,No consensus,0.1,,
Thunderstorm,temporale con fulmini,"A thunderstorm is defined as one or more sudden electrical discharges, manifested by a flash of light (lightning) and a sharp or rumbling sound (thunder) (WMO, no date).",it,0.97,gpt-oss:latest,No consensus,0.1,,
Thunderstorm,trovoada,"A thunderstorm is defined as one or more sudden electrical discharges, manifested by a flash of light (lightning) and a sharp or rumbling sound (thunder) (WMO, no date).",pt,0.97,gpt-oss:latest,No consensus,0.1,,
Thunderstorm,grmljavina,"A thunderstorm is defined as one or more sudden electrical discharges, manifested by a flash of light (lightning) and a sharp or rumbling sound (thunder) (WMO, no date).",bs,0.9,gpt-oss:latest,No consensus,0.1,,
Thunderstorm,雷暴,"A thunderstorm is defined as one or more sudden electrical discharges, manifested by a flash of light (lightning) and a sharp or rumbling sound (thunder) (WMO, no date).",ch,0.99,gpt-oss:latest,No consensus,0.1,,
Thunderstorm,Orage,"A thunderstorm is defined as one or more sudden electrical discharges, manifested by a flash of light (lightning) and a sharp or rumbling sound (thunder) (WMO, no date).",fr,0.99,gemma3:27b,Consensus reached (3/3 models agreed),0.1,,
Thunderstorm,Tormenta,"A thunderstorm is defined as one or more sudden electrical discharges, manifested by a flash of light (lightning) and a sharp or rumbling sound (thunder) (WMO, no date).",es,0.98,gemma3:27b,No consensus,0.1,,
Thunderstorm,Gewitter,"A thunderstorm is defined as one or more sudden electrical discharges, manifested by a flash of light (lightning) and a sharp or rumbling sound (thunder) (WMO, no date).",de,0.97,gemma3:27b,Consensus reached (3/3 models agreed),0.1,,
Thunderstorm,Ukkonen,"A thunderstorm is defined as one or more sudden electrical discharges, manifested by a flash of light (lightning) and a sharp or rumbling sound (thunder) (WMO, no date).",fi,0.96,gemma3:27b,No consensus,0.1,,
Thunderstorm,Гроза,"A thunderstorm is defined as one or more sudden electrical discharges, manifested by a flash of light (lightning) and a sharp or rumbling sound (thunder) (WMO, no date).",ru,0.99,gemma3:27b,Consensus reached (2/3 models agreed),0.1,,
Thunderstorm,Гроза,"A thunderstorm is defined as one or more sudden electrical discharges, manifested by a flash of light (lightning) and a sharp or rumbling sound (thunder) (WMO, no date).",ua,0.98,gemma3:27b,Consensus reached (2/3 models agreed),0.1,,
Thunderstorm,Temporale,"A thunderstorm is defined as one or more sudden electrical discharges, manifested by a flash of light (lightning) and a sharp or rumbling sound (thunder) (WMO, no date).",it,0.97,gemma3:27b,Consensus reached (2/3 models agreed),0.1,,
Thunderstorm,Tempestade,"A thunderstorm is defined as one or more sudden electrical discharges, manifested by a flash of light (lightning) and a sharp or rumbling sound (thunder) (WMO, no date).",pt,0.95,gemma3:27b,No consensus,0.1,,
