language,term,system,truth,score
fr,disaster,désastre,Catastrophe,0.53
fr,earthquake,Séisme,Tremblement de terre,0.23
fr,hurricane,ouragan,Cyclone,0.29
fr,mission introduction,Introduction de mission,Présentation de la mission,0.69
fr,advisor,Conseiller,CONSEIL,0.82
fr,fact,fait,Action-clé,0.31
fr,key facts,Faits clés,Actions-clés,0.67
fr,evacuation aids in use,Aides à l'évacuation en service,Systèmes d'évacuation en service:,0.79
fr,no evacuation aids are in use,Aucune aide à l'évacuation n'est utilisée.,Aucun système d'évacuation en place.,0.58
fr,hospitals,hôpital,Les hôpitaux,0.63
fr,start disaster,début de la catastrophe,Déclenchez la catastrophe,0.75
fr,show risk,Afficher le risque,Risque,0.50
fr,finished,Terminé,Fini,0.36
fr,the hospitals are too important not to care for have you protected them sufficiently,Protection des hôpitaux,Les hôpitaux sont trop importants pour n'être pas pris en compte. Les avez-vous suffisamment protégés?,0.18
fr,the schools can be used to shelter people during a disaster are they well protected,École,Les écoles peuvent être utilisées pour abriter des personnes pendant une catastrophe. Sont-elles bien protégées?,0.09
fr,hotels can shelter many people but only if they are themselves protected from damage have you made arrangements to do so,"Les hôtels peuvent abriter de nombreuses personnes, mais uniquement s'ils sont eux-mêmes protégés contre les dommages. Avez-vous pris les dispositions nécessaires ?","Les hôtels peuvent recueillir un grand nombre de personnes, mais seulement s'ils sont eux-mêmes sécurisés. Avez-vous pris les mesures nécessaires pour assurer leur sécurité?",0.69
fr,every community has a limited budget you can spend it on housing people defensive measures and upgrading buildings amongst other things its your choice where your money goes but if you run out before housing everyone that is required you will not pass the mission,Contraintes budgétaires,"Chaque collectivité dispose d'un budget limité. Vous pouvez le dépenser, entre autres, pour loger les gens, prendre des mesures de défenses et faire évoluer les bâtiments. C'est à vous de choisir l'affectation de vos fonds, mais si vous épuisez votre budget avant d'avoir hébergé tout le monde comme cela vous est demandé, vous ne réussirez pas la mission.",0.04
