language,term,system,truth,lex_score,sem_score
fr,disaster,désastre,Catastrophe,0.53,0.96
fr,earthquake,Séisme,Tremblement de terre,0.23,0.34
fr,hurricane,ouragan,Cyclone,0.29,0.92
fr,mission introduction,Introduction de mission,Présentation de la mission,0.69,0.94
fr,advisor,Conseiller,CONSEIL,0.82,0.66
fr,fact,fait,Action-clé,0.31,0.38
fr,key facts,Faits clés,Actions-clés,0.67,0.72
fr,hospitals,hôpital,Les hôpitaux,0.63,0.97
fr,start disaster,début de la catastrophe,Déclenchez la catastrophe,0.75,0.90
fr,show risk,Afficher le risque,Risque,0.50,0.90
fr,finished,Terminé,Fini,0.36,0.74
fr,stop disasters,Stop Disasters,Arrêtons les catastrophes,0.46,0.92
fr,select a scenario,Sélectionner un scénario,Choisissez un scénario,0.61,0.93
fr,south east asia,Asie du Sud-Est,Sud-Est asiatique,0.40,0.98
fr,lowland hills,Collines de basse altitude,Collines et plaines,0.58,0.65
fr,easterncentral europe,Europe centrale et orientale,Europe de l'Est/centrale,0.60,0.98
fr,valley flood plains,plaines inondables de vallée,Plaines inondables,0.78,0.71
fr,the caribbean,Les Caraïbes,Amérique centrale,0.14,0.63
fr,caribbean island,île des Caraïbes,Îles des Caraïbes,0.97,0.92
fr,daily news post,Publication d'actualité quotidienne,Nouvelles du jour,0.27,0.72
fr,view scene,Vue de scène,Voir la scène,0.64,0.86
fr,view report,Afficher le rapport,Voir le rapport,0.76,0.96
fr,population housed,Population hébergée,Personnes logées,0.40,0.35
fr,population sheltered,Population abritée,Personnes à l'abri,0.46,0.53
fr,total damages,dommages totaux,Totalité des dégâts,0.24,0.92
fr,population died,Population décédée,Pertes humaines,0.36,0.62
fr,population injured,Population blessée,Personnes blessées,0.61,0.74
fr,school built,École construite,{{SCHOOL}} construite,0.85,0.75
fr,hospital built,hôpital construit,{{HOSPITAL}} construit,0.97,0.87
fr,bonus,prime,Bonus,0.00,0.42
fr,key facts found,Faits clés trouvés,Action-clé trouvée,0.69,0.75
fr,pass,passer,Réussi,0.33,0.69
fr,well done,Bien fait!,Félicitations!,0.27,0.68
fr,unlucky,malchanceux,Pas de chance!,0.58,0.59
fr,try again,Réessayer,Essayez encore,0.61,0.62
fr,continue,continue,Continuer,0.94,0.99
fr,development defences,Développement de défenses,Développement: Défenses,0.94,0.50
fr,development structures,Structures de développement,Développement: Structures,0.51,0.94
fr,clearance  preparation,Préparation des données,Coût de la déblaiement et préparation,0.37,0.49
fr,item,élément,Article,0.29,0.65
fr,items,éléments,Articles,0.38,0.65
fr,unhoused,sans-abri,Pas logé,0.12,0.36
fr,housed,houssé,Logé,0.40,0.79
fr,sheltered,protégé,À l'abri,0.14,0.77
fr,show risk,Afficher le risque,MONTRER LE RISQUE,0.69,0.54
fr,start disaster,début de la catastrophe,Déclenchez la catastrophe,0.75,0.90
fr,confirm,confirmation,CONFIRMER,0.67,0.32
fr,are you sure,Êtes‑vous sûr ?,ÊTES-VOUS SÛR?,0.96,0.76
fr,housing goal,objectif de logement,Programme de construction,0.40,0.55
fr,build,construction,Bâtir,0.24,0.51
fr,build,construction,Bâtir,0.24,0.51
fr,max budget,budget maximal,Budget maximum,0.86,0.96
fr,max fatalities,maximum de victimes,Nombre maximal de décès,0.57,0.85
fr,approximately,approximativement,Environ,0.25,0.52
fr,until disaster,jusqu'à la catastrophe,jusqu'au désastre,0.65,0.98
fr,play game,jouer à un jeu,Jouer,0.53,0.77
fr,game developed by,Développé par,Jeu développé par,0.87,0.46
fr,the top bar,Barre supérieure,La Barre d'Outils,0.44,0.59
fr,the information panel,Panneau d'information,Le Tableau d'Information,0.79,0.84
fr,the main screen,écran principal,L'Écran Principal,0.97,0.41
fr,stop disasters,Stop Disasters,Arrêtons les catastrophes,0.46,0.92
fr,foundations,Fondements,Fondations,0.60,0.77
